rental_id,equipment_id,customer_id,site_id,site_name,site_city,check_in_date,expected_return_date,actual_return_date,rental_days,rental_rate_per_day,total_rental_cost,deposit_amount,payment_status,operator_id,contract_status,overdue_days
RNT100000,EQX1244,CUST1117,SITE106,Harbor Expansion,Salem,2025-05-18,2025-05-21,2025-05-21,3,30000,90000,60000,Pending,OP1182,Completed,0
RNT100001,EQX1216,CUST1102,SITE128,Harbor Expansion,Bangalore,2025-05-11,2025-05-22,2025-05-22,11,24000,264000,48000,Paid,OP1143,Completed,0
RNT100002,EQX1139,CUST1098,SITE114,IT Park,Chennai,2025-01-19,2025-02-07,2025-02-07,19,30000,570000,60000,Paid,OP1126,Completed,0
RNT100003,EQX1104,CUST1068,SITE116,Industrial Park,Madurai,2025-03-09,2025-03-22,2025-03-22,13,24000,312000,48000,Paid,OP1179,Completed,0
RNT100004,EQX1284,CUST1097,SITE104,River Embankment,Hyderabad,2025-05-12,2025-05-17,2025-05-17,5,18000,90000,36000,Paid,OP1036,Completed,0
RNT100005,EQX1137,CUST1071,SITE106,Harbor Expansion,Salem,2025-01-06,2025-01-10,2025-01-19,4,18000,234000,36000,Paid,OP1116,Overdue,9
RNT100006,EQX1114,CUST1027,SITE119,Mining Site,Bangalore,2025-02-17,2025-03-18,2025-03-22,29,12000,396000,24000,Paid,OP1171,Overdue,4
RNT100007,EQX1236,CUST1112,SITE113,Bridge Construction,Chennai,2025-01-15,2025-01-19,2025-01-19,4,18000,72000,36000,Pending,OP1158,Completed,0
RNT100008,EQX1278,CUST1014,SITE108,Mining Site,Salem,2025-03-01,2025-03-21,2025-03-21,20,22000,440000,44000,Paid,OP1022,Completed,0
RNT100009,EQX1185,CUST1003,SITE116,Industrial Park,Mysore,2025-03-07,2025-03-31,2025-03-31,24,30000,720000,60000,Paid,OP1116,Completed,0
RNT100010,EQX1159,CUST1107,SITE103,Residential Township,Madurai,2025-01-21,2025-01-28,2025-01-28,7,24000,168000,48000,Partial,OP1172,Completed,0
RNT100011,EQX1036,CUST1043,SITE123,Bridge Construction,Trichy,2025-05-26,2025-06-21,2025-06-21,26,24000,624000,48000,Pending,OP1041,Completed,0
RNT100012,EQX1051,CUST1047,SITE105,IT Park,Mysore,2025-02-08,2025-02-20,2025-02-20,12,12000,144000,24000,Pending,OP1075,Completed,0
RNT100013,EQX1177,CUST1096,SITE127,Harbor Expansion,Salem,2025-05-18,2025-06-15,2025-06-15,28,25000,700000,50000,Paid,OP1173,Completed,0
RNT100014,EQX1171,CUST1088,SITE124,Smart City Zone,Madurai,2025-03-20,2025-04-03,2025-04-03,14,22000,308000,44000,Paid,OP1038,Completed,0
RNT100015,EQX1261,CUST1118,SITE124,Mining Site,Coimbatore,2025-06-18,2025-07-08,2025-07-09,20,24000,504000,48000,Paid,OP1023,Overdue,1
RNT100016,EQX1270,CUST1109,SITE113,Bridge Construction,Mysore,2025-04-24,2025-05-03,2025-05-03,9,18000,162000,36000,Paid,OP1111,Completed,0
RNT100017,EQX1148,CUST1022,SITE116,Highway Expansion,Bangalore,2025-05-13,2025-05-30,2025-05-30,17,22000,374000,44000,Paid,OP1079,Completed,0
RNT100018,EQX1225,CUST1015,SITE106,IT Park,Mysore,2025-01-04,2025-01-15,2025-01-17,11,22000,286000,44000,Paid,OP1052,Overdue,2
RNT100019,EQX1109,CUST1084,SITE108,Mining Site,Chennai,2025-03-02,2025-04-01,2025-04-06,30,24000,840000,48000,Paid,OP1008,Overdue,5
RNT100020,EQX1284,CUST1019,SITE125,Industrial Park,Mysore,2025-03-08,2025-04-03,2025-04-03,26,18000,468000,36000,Pending,OP1137,Completed,0
RNT100021,EQX1110,CUST1011,SITE124,Airport Extension,Bangalore,2025-01-19,2025-01-21,2025-01-21,2,12000,24000,24000,Pending,OP1169,Completed,0
RNT100022,EQX1119,CUST1014,SITE124,Harbor Expansion,Bangalore,2025-04-11,2025-04-23,2025-04-26,12,22000,330000,44000,Pending,OP1105,Overdue,3
RNT100023,EQX1018,CUST1100,SITE127,Metro Rail Project,Bangalore,2025-03-05,2025-03-08,2025-03-12,3,22000,154000,44000,Paid,OP1162,Overdue,4
RNT100024,EQX1056,CUST1096,SITE108,Smart City Zone,Bangalore,2025-01-27,2025-02-18,2025-02-18,22,22000,484000,44000,Paid,OP1043,Completed,0
RNT100025,EQX1185,CUST1077,SITE116,Highway Expansion,Salem,2025-01-02,2025-01-30,2025-01-30,28,30000,840000,60000,Paid,OP1043,Completed,0
RNT100026,EQX1142,CUST1115,SITE107,Mining Site,Mysore,2025-05-11,2025-05-19,2025-05-23,8,24000,288000,48000,Pending,OP1086,Overdue,4
RNT100027,EQX1278,CUST1051,SITE122,Harbor Expansion,Madurai,2025-02-08,2025-02-27,2025-02-27,19,22000,418000,44000,Partial,OP1106,Completed,0
RNT100028,EQX1268,CUST1026,SITE109,IT Park,Mysore,2025-05-07,2025-05-14,2025-05-14,7,22000,154000,44000,Paid,OP1181,Completed,0
RNT100029,EQX1164,CUST1090,SITE129,Smart City Zone,Madurai,2025-06-17,2025-07-05,2025-07-05,18,30000,540000,60000,Paid,OP1120,Completed,0
RNT100030,EQX1254,CUST1030,SITE126,Airport Extension,Bangalore,2025-02-21,2025-02-24,2025-03-06,3,18000,234000,36000,Paid,OP1010,Overdue,10
RNT100031,EQX1097,CUST1005,SITE125,Residential Township,Trichy,2025-02-08,2025-03-07,2025-03-16,27,22000,792000,44000,Paid,OP1195,Overdue,9
RNT100032,EQX1004,CUST1116,SITE106,River Embankment,Bangalore,2025-04-19,2025-05-06,2025-05-06,17,30000,510000,60000,Pending,OP1073,Completed,0
RNT100033,EQX1025,CUST1087,SITE101,Residential Township,Hyderabad,2025-04-25,2025-05-03,2025-05-12,8,30000,510000,60000,Paid,OP1030,Overdue,9
RNT100034,EQX1078,CUST1021,SITE130,Residential Township,Chennai,2025-03-15,2025-03-22,2025-03-31,7,12000,192000,24000,Partial,OP1174,Overdue,9
RNT100035,EQX1085,CUST1063,SITE117,Smart City Zone,Coimbatore,2025-05-11,2025-06-04,2025-06-13,24,24000,792000,48000,Pending,OP1148,Overdue,9
RNT100036,EQX1286,CUST1092,SITE121,Mining Site,Hyderabad,2025-01-24,2025-02-06,2025-02-06,13,18000,234000,36000,Partial,OP1053,Completed,0
RNT100037,EQX1026,CUST1034,SITE127,IT Park,Bangalore,2025-02-13,2025-02-17,2025-02-21,4,25000,200000,50000,Paid,OP1150,Overdue,4
RNT100038,EQX1017,CUST1036,SITE114,River Embankment,Hyderabad,2025-05-29,2025-06-06,2025-06-06,8,12000,96000,24000,Paid,OP1141,Completed,0
RNT100039,EQX1153,CUST1089,SITE104,Bridge Construction,Chennai,2025-05-13,2025-05-24,2025-05-24,11,24000,264000,48000,Paid,OP1039,Completed,0
RNT100040,EQX1130,CUST1119,SITE116,Metro Rail Project,Madurai,2025-01-31,2025-02-04,2025-02-04,4,25000,100000,50000,Paid,OP1163,Completed,0
RNT100041,EQX1285,CUST1103,SITE121,Industrial Park,Trichy,2025-04-04,2025-04-06,2025-04-06,2,30000,60000,60000,Paid,OP1113,Completed,0
RNT100042,EQX1020,CUST1088,SITE102,Airport Extension,Coimbatore,2025-05-20,2025-05-27,2025-05-27,7,30000,210000,60000,Paid,OP1089,Completed,0
RNT100043,EQX1111,CUST1100,SITE125,Harbor Expansion,Chennai,2025-03-02,2025-03-09,2025-03-09,7,22000,154000,44000,Paid,OP1122,Completed,0
RNT100044,EQX1164,CUST1120,SITE109,Industrial Park,Coimbatore,2025-03-08,2025-03-28,2025-03-28,20,30000,600000,60000,Paid,OP1112,Completed,0
RNT100045,EQX1261,CUST1089,SITE123,Industrial Park,Coimbatore,2025-05-17,2025-06-09,2025-06-09,23,24000,552000,48000,Paid,OP1134,Completed,0
RNT100046,EQX1098,CUST1019,SITE116,Solar Power Plant,Mysore,2025-04-13,2025-05-09,2025-05-09,26,30000,780000,60000,Paid,OP1162,Completed,0
RNT100047,EQX1274,CUST1079,SITE124,Harbor Expansion,Madurai,2025-02-13,2025-02-28,2025-02-28,15,30000,450000,60000,Pending,OP1173,Completed,0
RNT100048,EQX1121,CUST1003,SITE106,Highway Expansion,Madurai,2025-03-17,2025-04-15,2025-04-15,29,22000,638000,44000,Paid,OP1030,Completed,0
RNT100049,EQX1254,CUST1052,SITE109,Highway Expansion,Trichy,2025-04-03,2025-04-25,2025-04-25,22,18000,396000,36000,Paid,OP1046,Completed,0
RNT100050,EQX1196,CUST1061,SITE112,River Embankment,Mysore,2025-06-18,2025-07-05,2025-07-05,17,22000,374000,44000,Pending,OP1175,Completed,0
RNT100051,EQX1154,CUST1032,SITE104,Mining Site,Madurai,2025-05-08,2025-05-15,2025-05-15,7,12000,84000,24000,Paid,OP1149,Completed,0
RNT100052,EQX1285,CUST1002,SITE122,Metro Rail Project,Salem,2025-05-14,2025-05-31,2025-06-04,17,30000,630000,60000,Paid,OP1112,Overdue,4
RNT100053,EQX1036,CUST1067,SITE124,Airport Extension,Chennai,2025-04-30,2025-05-09,2025-05-09,9,24000,216000,48000,Paid,OP1147,Completed,0
RNT100054,EQX1227,CUST1057,SITE115,Residential Township,Chennai,2025-05-02,2025-05-07,2025-05-07,5,18000,90000,36000,Paid,OP1068,Completed,0
RNT100055,EQX1191,CUST1108,SITE129,Solar Power Plant,Bangalore,2025-04-30,2025-05-26,2025-05-26,26,24000,624000,48000,Paid,OP1142,Completed,0
RNT100056,EQX1204,CUST1050,SITE118,Highway Expansion,Bangalore,2025-05-30,2025-06-19,2025-06-19,20,30000,600000,60000,Paid,OP1095,Completed,0
RNT100057,EQX1058,CUST1051,SITE103,River Embankment,Salem,2025-06-13,2025-06-15,2025-06-16,2,30000,90000,60000,Paid,OP1129,Overdue,1
RNT100058,EQX1298,CUST1106,SITE117,Mining Site,Trichy,2025-04-23,2025-05-05,2025-05-05,12,22000,264000,44000,Paid,OP1178,Completed,0
RNT100059,EQX1181,CUST1021,SITE125,Bridge Construction,Bangalore,2025-03-27,2025-04-18,2025-04-18,22,22000,484000,44000,Partial,OP1027,Completed,0
RNT100060,EQX1158,CUST1002,SITE122,Solar Power Plant,Salem,2025-05-10,2025-05-15,2025-05-21,5,24000,264000,48000,Pending,OP1080,Overdue,6
RNT100061,EQX1267,CUST1004,SITE108,Airport Extension,Hyderabad,2025-04-08,2025-05-03,2025-05-03,25,30000,750000,60000,Pending,OP1090,Completed,0
RNT100062,EQX1081,CUST1032,SITE111,IT Park,Chennai,2025-02-01,2025-02-16,2025-02-16,15,22000,330000,44000,Paid,OP1056,Completed,0
RNT100063,EQX1260,CUST1056,SITE127,Metro Rail Project,Bangalore,2025-05-04,2025-05-15,2025-05-25,11,30000,630000,60000,Paid,OP1154,Overdue,10
RNT100064,EQX1203,CUST1032,SITE105,Mining Site,Mysore,2025-02-10,2025-02-12,2025-02-14,2,22000,88000,44000,Paid,OP1093,Overdue,2
RNT100065,EQX1259,CUST1045,SITE112,Airport Extension,Madurai,2025-05-20,2025-05-26,2025-05-26,6,22000,132000,44000,Pending,OP1004,Completed,0
RNT100066,EQX1230,CUST1055,SITE127,IT Park,Salem,2025-06-08,2025-07-08,2025-07-08,30,18000,540000,36000,Pending,OP1004,Completed,0
RNT100067,EQX1064,CUST1016,SITE113,Solar Power Plant,Chennai,2025-02-21,2025-03-17,2025-03-17,24,18000,432000,36000,Paid,OP1094,Completed,0
RNT100068,EQX1126,CUST1031,SITE107,River Embankment,Madurai,2025-04-15,2025-04-22,2025-04-22,7,18000,126000,36000,Paid,OP1146,Completed,0
RNT100069,EQX1056,CUST1109,SITE109,Industrial Park,Chennai,2025-04-10,2025-04-19,2025-04-19,9,22000,198000,44000,Pending,OP1126,Completed,0
RNT100070,EQX1104,CUST1079,SITE125,Industrial Park,Bangalore,2025-06-18,2025-06-28,2025-06-28,10,24000,240000,48000,Paid,OP1170,Completed,0
RNT100071,EQX1108,CUST1047,SITE118,Solar Power Plant,Bangalore,2025-04-21,2025-05-20,2025-05-20,29,22000,638000,44000,Paid,OP1125,Completed,0
RNT100072,EQX1161,CUST1009,SITE118,Highway Expansion,Chennai,2025-01-18,2025-01-23,2025-01-23,5,30000,150000,60000,Paid,OP1168,Completed,0
RNT100073,EQX1089,CUST1098,SITE111,River Embankment,Trichy,2025-05-05,2025-05-14,2025-05-14,9,18000,162000,36000,Paid,OP1106,Completed,0
RNT100074,EQX1025,CUST1094,SITE120,IT Park,Bangalore,2025-04-09,2025-05-06,2025-05-06,27,30000,810000,60000,Paid,OP1112,Completed,0
RNT100075,EQX1146,CUST1044,SITE108,River Embankment,Hyderabad,2025-03-09,2025-03-19,2025-03-19,10,18000,180000,36000,Pending,OP1056,Completed,0
RNT100076,EQX1195,CUST1112,SITE108,Highway Expansion,Chennai,2025-06-05,2025-06-19,2025-06-19,14,18000,252000,36000,Pending,OP1160,Completed,0
RNT100077,EQX1217,CUST1041,SITE103,Smart City Zone,Hyderabad,2025-01-23,2025-01-31,2025-01-31,8,18000,144000,36000,Paid,OP1121,Completed,0
RNT100078,EQX1177,CUST1113,SITE119,Solar Power Plant,Hyderabad,2025-01-29,2025-02-22,2025-02-22,24,25000,600000,50000,Paid,OP1004,Completed,0
RNT100079,EQX1099,CUST1038,SITE116,Residential Township,Coimbatore,2025-05-11,2025-05-26,2025-05-26,15,22000,330000,44000,Paid,OP1112,Completed,0
RNT100080,EQX1089,CUST1059,SITE125,Residential Township,Chennai,2025-01-02,2025-01-11,2025-01-11,9,18000,162000,36000,Paid,OP1054,Completed,0
RNT100081,EQX1086,CUST1043,SITE109,Residential Township,Chennai,2025-05-13,2025-05-17,2025-05-17,4,18000,72000,36000,Paid,OP1084,Completed,0
RNT100082,EQX1146,CUST1099,SITE115,Residential Township,Madurai,2025-06-13,2025-06-26,2025-06-26,13,18000,234000,36000,Partial,OP1100,Completed,0
RNT100083,EQX1198,CUST1117,SITE118,Smart City Zone,Salem,2025-06-12,2025-06-20,2025-06-20,8,24000,192000,48000,Paid,OP1026,Completed,0
