maintenance_id,equipment_id,service_date,service_type,issue_reported,part_replaced,downtime_hours,service_cost,next_service_due_date,service_status
MAIN10000,EQX1290,2025-05-12,Inspection,No Issue,None,14.9,51744,2025-06-26,Completed
MAIN10001,EQX1090,2024-08-26,Preventive Maintenance,Bucket Damage,Hydraulic Pump,28.8,119066,2024-10-10,Completed
MAIN10002,EQX1113,2025-05-06,Inspection,No Issue,None,26.4,120645,2025-06-20,Completed
MAIN10003,EQX1190,2024-08-11,Emergency Repair,Track Wear,Engine Belt,8.2,144863,2024-10-10,Completed
MAIN10004,EQX1079,2024-12-23,Preventive Maintenance,Fuel Leakage,Oil Filter,19.2,25982,2025-02-21,Completed
MAIN10005,EQX1298,2025-04-26,Preventive Maintenance,Fuel Leakage,Hydraulic Pump,11.8,129253,2025-05-26,Completed
MAIN10006,EQX1092,2024-12-01,Preventive Maintenance,Track Wear,Bucket Teeth,20.2,113832,2025-01-15,Completed
MAIN10007,EQX1234,2025-02-20,Emergency Repair,Hydraulic Leakage,Bucket Teeth,8.2,146052,2025-04-21,In Progress
MAIN10008,EQX1030,2024-08-17,Inspection,No Issue,None,6.3,115338,2024-10-01,Completed
MAIN10009,EQX1061,2024-10-17,Corrective Maintenance,Track Wear,Bucket Teeth,45.3,32565,2024-12-16,Completed
MAIN10010,EQX1200,2025-03-18,Preventive Maintenance,Hydraulic Leakage,Engine Belt,34.1,100552,2025-05-02,Completed
MAIN10011,EQX1145,2024-10-15,Emergency Repair,Hydraulic Leakage,Battery,14.6,99453,2024-11-29,Completed
MAIN10012,EQX1021,2024-10-12,Corrective Maintenance,Engine Overheating,Hydraulic Pump,10.4,31112,2024-11-26,Completed
MAIN10013,EQX1287,2025-01-19,Inspection,No Issue,None,31.1,78330,2025-03-20,Completed
MAIN10014,EQX1030,2024-09-07,Corrective Maintenance,Low Engine Oil,Hydraulic Hose,8.7,40591,2024-10-22,In Progress
MAIN10015,EQX1082,2025-04-18,Emergency Repair,Hydraulic Leakage,Oil Filter,24.5,146095,2025-05-18,Completed
MAIN10016,EQX1300,2025-04-25,Inspection,No Issue,None,9.5,137846,2025-06-24,Completed
MAIN10017,EQX1132,2025-05-16,Corrective Maintenance,Transmission Fault,Track Chain,33.1,70230,2025-06-15,Completed
MAIN10018,EQX1289,2024-08-13,Preventive Maintenance,Engine Overheating,Brake Pads,18.9,106870,2024-09-12,Completed
MAIN10019,EQX1276,2024-11-12,Corrective Maintenance,Hydraulic Leakage,Track Chain,42.5,84608,2024-12-27,Completed
MAIN10020,EQX1055,2025-01-13,Corrective Maintenance,Hydraulic Leakage,Track Chain,40.1,122872,2025-02-12,Completed
MAIN10021,EQX1218,2025-05-13,Corrective Maintenance,Low Engine Oil,Battery,41.1,90188,2025-06-12,Completed
MAIN10022,EQX1229,2025-06-22,Corrective Maintenance,Hydraulic Leakage,Oil Filter,20.9,49625,2025-07-22,Completed
MAIN10023,EQX1218,2024-10-16,Emergency Repair,Fuel Leakage,Oil Filter,32.2,110718,2024-11-30,Completed
MAIN10024,EQX1177,2024-11-05,Corrective Maintenance,Engine Overheating,Bucket Teeth,25.5,36277,2024-12-20,Completed
MAIN10025,EQX1285,2024-09-05,Corrective Maintenance,Hydraulic Leakage,Engine Belt,4.1,148480,2024-11-04,Completed
MAIN10026,EQX1105,2024-10-11,Corrective Maintenance,Transmission Fault,Battery,18.0,113258,2024-12-10,Completed
MAIN10027,EQX1038,2024-12-14,Preventive Maintenance,Track Wear,Bucket Teeth,5.3,108349,2025-01-28,Scheduled
MAIN10028,EQX1049,2025-03-02,Emergency Repair,Battery Failure,Hydraulic Pump,40.0,8467,2025-04-16,Completed
MAIN10029,EQX1097,2024-09-04,Hydraulic Service,Fuel Leakage,Hydraulic Pump,41.8,133624,2024-11-03,Completed
MAIN10030,EQX1138,2024-11-15,Preventive Maintenance,Engine Overheating,Track Chain,5.1,143076,2024-12-30,Completed
MAIN10031,EQX1135,2024-09-26,Hydraulic Service,Battery Failure,Battery,11.5,117723,2024-11-25,Completed
MAIN10032,EQX1242,2024-11-06,Emergency Repair,Brake Wear,Hydraulic Pump,26.2,107930,2024-12-21,Completed
MAIN10033,EQX1068,2024-07-05,Corrective Maintenance,Battery Failure,Track Chain,26.2,138071,2024-08-04,Completed
MAIN10034,EQX1126,2024-11-27,Emergency Repair,Battery Failure,Engine Belt,47.0,98003,2025-01-11,Completed
MAIN10035,EQX1136,2024-08-09,Preventive Maintenance,Transmission Fault,Oil Filter,38.6,60743,2024-10-08,Completed
MAIN10036,EQX1201,2025-01-17,Corrective Maintenance,Track Wear,Track Chain,41.0,7689,2025-02-16,Completed
MAIN10037,EQX1266,2024-08-26,Inspection,No Issue,None,2.4,122503,2024-10-10,Completed
MAIN10038,EQX1182,2025-02-13,Corrective Maintenance,Engine Overheating,Engine Belt,32.6,56874,2025-03-30,Completed
MAIN10039,EQX1075,2024-07-11,Oil Change,Track Wear,Track Chain,36.1,10081,2024-08-25,Completed
MAIN10040,EQX1126,2025-04-03,Corrective Maintenance,Low Engine Oil,Brake Pads,35.6,96230,2025-05-03,Completed
MAIN10041,EQX1126,2025-03-08,Emergency Repair,Brake Wear,Battery,24.2,127696,2025-04-07,Completed
MAIN10042,EQX1246,2025-04-01,Hydraulic Service,Bucket Damage,Brake Pads,2.1,120000,2025-05-01,In Progress
MAIN10043,EQX1222,2024-11-20,Preventive Maintenance,Battery Failure,Oil Filter,32.4,45259,2025-01-19,Scheduled
MAIN10044,EQX1148,2024-07-09,Emergency Repair,Transmission Fault,Brake Pads,23.8,57126,2024-08-08,Completed
MAIN10045,EQX1029,2024-10-04,Preventive Maintenance,Bucket Damage,Engine Belt,43.1,129791,2024-11-18,Completed
MAIN10046,EQX1059,2024-09-25,Emergency Repair,Track Wear,Hydraulic Hose,23.6,104554,2024-11-24,Completed
MAIN10047,EQX1136,2024-12-17,Inspection,No Issue,None,5.1,63886,2025-01-16,In Progress
MAIN10048,EQX1084,2024-11-04,Corrective Maintenance,Low Engine Oil,Brake Pads,6.2,57795,2024-12-19,Scheduled
MAIN10049,EQX1244,2025-04-02,Hydraulic Service,Brake Wear,Bucket Teeth,16.8,131622,2025-05-02,Completed
MAIN10050,EQX1284,2024-12-23,Corrective Maintenance,Hydraulic Leakage,Oil Filter,34.1,75440,2025-02-21,Completed
MAIN10051,EQX1185,2024-10-25,Oil Change,Battery Failure,Battery,13.3,52697,2024-12-09,Completed
MAIN10052,EQX1011,2024-12-20,Corrective Maintenance,Fuel Leakage,Fuel Filter,4.6,106109,2025-02-18,Completed
MAIN10053,EQX1024,2025-05-13,Preventive Maintenance,Hydraulic Leakage,Engine Belt,47.9,120363,2025-06-27,Scheduled
MAIN10054,EQX1253,2024-07-18,Inspection,No Issue,None,22.4,9629,2024-09-16,In Progress
MAIN10055,EQX1126,2024-12-25,Emergency Repair,Bucket Damage,Fuel Filter,8.6,67942,2025-02-08,Completed
MAIN10056,EQX1103,2024-08-09,Inspection,No Issue,None,39.6,108006,2024-10-08,Completed
MAIN10057,EQX1271,2024-08-22,Hydraulic Service,Hydraulic Leakage,Hydraulic Hose,17.9,56308,2024-10-06,Scheduled
MAIN10058,EQX1064,2025-03-10,Inspection,No Issue,None,4.0,142719,2025-05-09,Completed
MAIN10059,EQX1078,2024-08-14,Corrective Maintenance,Hydraulic Leakage,Battery,5.2,116151,2024-09-13,Completed
MAIN10060,EQX1203,2024-10-28,Corrective Maintenance,Engine Overheating,Oil Filter,20.6,148181,2024-12-12,Scheduled
MAIN10061,EQX1215,2024-11-04,Inspection,No Issue,None,36.2,22022,2025-01-03,Scheduled
MAIN10062,EQX1116,2025-05-07,Hydraulic Service,Hydraulic Leakage,Oil Filter,3.9,15833,2025-06-21,Completed
MAIN10063,EQX1218,2025-02-28,Corrective Maintenance,Bucket Damage,Brake Pads,33.8,38978,2025-04-29,Scheduled
MAIN10064,EQX1035,2024-10-15,Inspection,No Issue,None,35.8,86138,2024-12-14,Completed
MAIN10065,EQX1036,2024-07-22,Corrective Maintenance,Fuel Leakage,Engine Belt,39.2,12194,2024-09-20,In Progress
MAIN10066,EQX1168,2025-06-04,Preventive Maintenance,Bucket Damage,Brake Pads,26.9,41104,2025-07-19,Completed
MAIN10067,EQX1212,2025-03-09,Corrective Maintenance,Fuel Leakage,Bucket Teeth,7.4,35809,2025-04-23,In Progress
MAIN10068,EQX1228,2025-05-21,Corrective Maintenance,Battery Failure,Hydraulic Hose,31.9,149731,2025-07-05,Completed
MAIN10069,EQX1196,2025-04-29,Inspection,No Issue,None,20.1,13711,2025-05-29,Completed
MAIN10070,EQX1268,2025-05-11,Preventive Maintenance,Transmission Fault,Bucket Teeth,46.2,140635,2025-07-10,Completed
MAIN10071,EQX1254,2024-10-22,Preventive Maintenance,Low Engine Oil,Brake Pads,32.1,85889,2024-12-21,Completed
MAIN10072,EQX1200,2024-07-05,Preventive Maintenance,Engine Overheating,Track Chain,2.1,84114,2024-08-19,In Progress
MAIN10073,EQX1026,2025-06-28,Corrective Maintenance,Bucket Damage,Track Chain,28.0,126705,2025-07-28,Completed
MAIN10074,EQX1221,2025-01-06,Corrective Maintenance,Track Wear,Hydraulic Pump,37.6,88981,2025-02-05,Completed
MAIN10075,EQX1032,2025-05-11,Preventive Maintenance,Hydraulic Leakage,Engine Belt,16.8,20510,2025-06-10,Scheduled
MAIN10076,EQX1081,2024-11-13,Hydraulic Service,Brake Wear,Brake Pads,22.4,80196,2025-01-12,Completed
MAIN10077,EQX1242,2025-02-01,Hydraulic Service,Transmission Fault,Brake Pads,26.2,109322,2025-03-18,Scheduled
MAIN10078,EQX1118,2024-07-07,Preventive Maintenance,Hydraulic Leakage,Engine Belt,10.2,42245,2024-09-05,Scheduled
MAIN10079,EQX1135,2025-06-21,Hydraulic Service,Fuel Leakage,Engine Belt,15.2,110834,2025-07-21,In Progress
MAIN10080,EQX1112,2024-07-09,Emergency Repair,Engine Overheating,Fuel Filter,45.3,75089,2024-08-23,Completed
MAIN10081,EQX1061,2025-02-17,Preventive Maintenance,Battery Failure,Brake Pads,26.7,61489,2025-04-03,In Progress
MAIN10082,EQX1278,2025-04-02,Emergency Repair,Transmission Fault,Track Chain,6.3,68905,2025-05-02,Completed
MAIN10083,EQX1030,2024-08-01,Preventive Maintenance,Brake Wear,Engine Belt,11.1,18425,2024-08-31,Completed
MAIN10084,EQX1154,2025-03-30,Preventive Maintenance,Hydraulic Leakage,Hydraulic Hose,39.9,108938,2025-04-29,Completed
MAIN10085,EQX1230,2025-06-17,Corrective Maintenance,Bucket Damage,Battery,39.6,40815,2025-08-01,Completed
MAIN10086,EQX1105,2025-05-13,Corrective Maintenance,Fuel Leakage,Hydraulic Hose,41.8,132245,2025-07-12,Completed
MAIN10087,EQX1042,2024-07-07,Emergency Repair,Engine Overheating,Track Chain,28.9,24978,2024-09-05,Completed
MAIN10088,EQX1263,2025-06-22,Preventive Maintenance,Brake Wear,Hydraulic Hose,16.3,94651,2025-07-22,Completed
MAIN10089,EQX1150,2024-09-19,Preventive Maintenance,Low Engine Oil,Hydraulic Pump,24.2,9116,2024-10-19,Completed
MAIN10090,EQX1122,2025-03-12,Hydraulic Service,Hydraulic Leakage,Hydraulic Pump,37.1,132983,2025-04-26,In Progress
MAIN10091,EQX1225,2025-01-25,Corrective Maintenance,Engine Overheating,Bucket Teeth,20.4,34057,2025-02-24,Completed
MAIN10092,EQX1015,2025-01-30,Preventive Maintenance,Low Engine Oil,Bucket Teeth,33.0,39614,2025-03-01,In Progress
MAIN10093,EQX1068,2025-05-02,Emergency Repair,Low Engine Oil,Hydraulic Pump,21.5,146385,2025-06-16,Completed
MAIN10094,EQX1087,2024-07-21,Emergency Repair,Fuel Leakage,Battery,41.8,83140,2024-08-20,Completed
MAIN10095,EQX1037,2024-12-28,Emergency Repair,Hydraulic Leakage,Track Chain,17.4,5131,2025-02-26,In Progress
MAIN10096,EQX1213,2024-07-20,Inspection,No Issue,None,13.2,74552,2024-08-19,Completed
MAIN10097,EQX1183,2025-06-22,Inspection,No Issue,None,6.7,118223,2025-07-22,Completed
MAIN10098,EQX1295,2025-06-04,Corrective Maintenance,Bucket Damage,Track Chain,13.1,132837,2025-07-19,Completed
MAIN10099,EQX1258,2024-08-04,Emergency Repair,Transmission Fault,Engine Belt,34.8,82052,2024-10-03,Completed
MAIN10100,EQX1163,2024-11-16,Preventive Maintenance,Low Engine Oil,Engine Belt,43.1,91049,2024-12-31,Scheduled
MAIN10101,EQX1003,2024-11-24,Hydraulic Service,Bucket Damage,Fuel Filter,8.3,100558,2025-01-08,Completed
MAIN10102,EQX1108,2025-02-10,Corrective Maintenance,Fuel Leakage,Bucket Teeth,11.7,141112,2025-03-12,In Progress
MAIN10103,EQX1006,2025-06-27,Preventive Maintenance,Low Engine Oil,Bucket Teeth,28.1,60981,2025-08-11,In Progress
MAIN10104,EQX1092,2025-01-17,Preventive Maintenance,Track Wear,Track Chain,4.7,116154,2025-03-03,Completed
MAIN10105,EQX1140,2024-08-04,Corrective Maintenance,Engine Overheating,Oil Filter,21.3,48261,2024-10-03,Completed
MAIN10106,EQX1173,2025-02-08,Corrective Maintenance,Engine Overheating,Oil Filter,36.7,109387,2025-04-09,Completed
MAIN10107,EQX1197,2024-10-12,Emergency Repair,Brake Wear,Oil Filter,26.6,118695,2024-12-11,Completed
MAIN10108,EQX1030,2024-10-02,Corrective Maintenance,Engine Overheating,Brake Pads,14.8,108996,2024-11-01,Completed
MAIN10109,EQX1169,2024-08-08,Corrective Maintenance,Low Engine Oil,Hydraulic Pump,3.9,42344,2024-10-07,Completed
MAIN10110,EQX1062,2025-05-09,Preventive Maintenance,Bucket Damage,Fuel Filter,33.3,30123,2025-06-08,Completed
MAIN10111,EQX1080,2025-05-14,Hydraulic Service,Transmission Fault,Hydraulic Hose,6.8,136104,2025-06-28,Completed
MAIN10112,EQX1044,2025-01-30,Corrective Maintenance,Engine Overheating,Engine Belt,46.8,104172,2025-03-31,Completed
MAIN10113,EQX1086,2024-11-27,Corrective Maintenance,Engine Overheating,Brake Pads,22.7,103862,2025-01-26,Completed
MAIN10114,EQX1018,2024-09-22,Emergency Repair,Low Engine Oil,Bucket Teeth,18.3,103252,2024-10-22,In Progress
MAIN10115,EQX1260,2025-06-18,Hydraulic Service,Brake Wear,Hydraulic Hose,41.7,67040,2025-07-18,Completed
MAIN10116,EQX1297,2025-01-10,Preventive Maintenance,Fuel Leakage,Track Chain,19.2,122755,2025-02-09,Scheduled
MAIN10117,EQX1100,2024-12-20,Preventive Maintenance,Transmission Fault,Engine Belt,21.8,108923,2025-01-19,In Progress
MAIN10118,EQX1243,2024-09-27,Hydraulic Service,Engine Overheating,Brake Pads,10.8,95975,2024-11-11,Completed
MAIN10119,EQX1057,2025-01-25,Corrective Maintenance,Hydraulic Leakage,Fuel Filter,6.1,113986,2025-03-11,Completed
MAIN10120,EQX1195,2025-05-20,Preventive Maintenance,Low Engine Oil,Engine Belt,6.0,118250,2025-07-19,Completed
MAIN10121,EQX1186,2025-02-11,Oil Change,Bucket Damage,Oil Filter,4.4,77092,2025-03-28,Completed
MAIN10122,EQX1296,2025-05-18,Inspection,No Issue,None,25.3,31073,2025-07-02,Completed
MAIN10123,EQX1152,2025-06-14,Hydraulic Service,Engine Overheating,Engine Belt,16.0,101363,2025-07-14,Completed
MAIN10124,EQX1058,2024-10-12,Preventive Maintenance,Fuel Leakage,Oil Filter,37.1,112503,2024-11-11,Completed
MAIN10125,EQX1155,2025-06-05,Preventive Maintenance,Fuel Leakage,Track Chain,18.5,102075,2025-07-20,Completed
MAIN10126,EQX1250,2024-07-22,Corrective Maintenance,Fuel Leakage,Battery,11.2,43432,2024-08-21,Completed
MAIN10127,EQX1291,2024-10-04,Preventive Maintenance,Fuel Leakage,Bucket Teeth,4.4,124434,2024-12-03,Completed
MAIN10128,EQX1274,2024-11-07,Preventive Maintenance,Bucket Damage,Brake Pads,40.2,49110,2024-12-07,Completed
MAIN10129,EQX1026,2025-03-03,Corrective Maintenance,Low Engine Oil,Bucket Teeth,6.4,92062,2025-05-02,Completed
MAIN10130,EQX1256,2024-08-26,Preventive Maintenance,Transmission Fault,Fuel Filter,28.5,99049,2024-09-25,Completed
MAIN10131,EQX1054,2024-09-27,Emergency Repair,Track Wear,Fuel Filter,17.3,61435,2024-10-27,Completed
MAIN10132,EQX1239,2025-07-01,Preventive Maintenance,Bucket Damage,Track Chain,31.3,35099,2025-08-15,Completed
MAIN10133,EQX1061,2025-02-21,Inspection,No Issue,None,26.5,149730,2025-04-22,Completed
MAIN10134,EQX1216,2024-11-30,Emergency Repair,Hydraulic Leakage,Engine Belt,2.5,125485,2025-01-14,Completed
MAIN10135,EQX1273,2025-05-31,Corrective Maintenance,Transmission Fault,Oil Filter,27.3,132549,2025-06-30,Completed
MAIN10136,EQX1205,2025-04-26,Hydraulic Service,Low Engine Oil,Battery,12.2,115913,2025-06-25,Completed
MAIN10137,EQX1052,2025-04-04,Corrective Maintenance,Low Engine Oil,Engine Belt,30.5,74125,2025-06-03,Completed
MAIN10138,EQX1087,2025-03-29,Corrective Maintenance,Bucket Damage,Fuel Filter,25.6,126301,2025-05-28,Completed
MAIN10139,EQX1209,2024-11-09,Corrective Maintenance,Brake Wear,Track Chain,29.7,106462,2024-12-24,Completed
MAIN10140,EQX1068,2025-03-07,Emergency Repair,Low Engine Oil,Fuel Filter,6.4,37468,2025-04-06,Completed
MAIN10141,EQX1072,2025-03-18,Preventive Maintenance,Brake Wear,Fuel Filter,23.7,68828,2025-05-02,Completed
MAIN10142,EQX1001,2024-12-18,Preventive Maintenance,Brake Wear,Battery,47.8,136117,2025-01-17,Completed
MAIN10143,EQX1214,2025-06-12,Corrective Maintenance,Low Engine Oil,Hydraulic Pump,33.9,115112,2025-08-11,Scheduled
MAIN10144,EQX1056,2024-12-15,Preventive Maintenance,Engine Overheating,Battery,34.3,6044,2025-01-14,Completed
MAIN10145,EQX1009,2024-07-24,Emergency Repair,Battery Failure,Brake Pads,6.5,137810,2024-08-23,Completed
MAIN10146,EQX1001,2024-10-04,Preventive Maintenance,Transmission Fault,Fuel Filter,22.0,133886,2024-12-03,In Progress
MAIN10147,EQX1199,2025-04-25,Emergency Repair,Battery Failure,Engine Belt,35.1,99143,2025-06-24,Completed
MAIN10148,EQX1101,2024-09-30,Corrective Maintenance,Battery Failure,Engine Belt,8.5,95141,2024-11-29,Scheduled
MAIN10149,EQX1058,2024-11-28,Corrective Maintenance,Hydraulic Leakage,Track Chain,10.8,85565,2024-12-28,Completed
MAIN10150,EQX1299,2025-01-11,Corrective Maintenance,Low Engine Oil,Battery,4.8,13438,2025-03-12,Completed
MAIN10151,EQX1125,2024-08-22,Inspection,No Issue,None,40.2,89461,2024-10-06,Completed
MAIN10152,EQX1266,2025-02-23,Preventive Maintenance,Engine Overheating,Oil Filter,39.5,67494,2025-04-24,Completed
MAIN10153,EQX1227,2025-04-03,Hydraulic Service,Brake Wear,Brake Pads,29.3,118579,2025-06-02,In Progress
MAIN10154,EQX1009,2025-06-08,Corrective Maintenance,Track Wear,Engine Belt,5.9,140468,2025-07-08,Completed
MAIN10155,EQX1018,2025-02-12,Hydraulic Service,Engine Overheating,Battery,40.2,142900,2025-03-29,Scheduled
MAIN10156,EQX1137,2025-04-04,Corrective Maintenance,Battery Failure,Brake Pads,16.5,117133,2025-05-04,Scheduled
MAIN10157,EQX1124,2025-05-26,Inspection,No Issue,None,25.4,139901,2025-07-10,Completed
MAIN10158,EQX1191,2024-11-23,Emergency Repair,Brake Wear,Fuel Filter,3.8,96344,2025-01-07,Completed
MAIN10159,EQX1124,2025-06-07,Inspection,No Issue,None,6.1,23142,2025-08-06,Completed
MAIN10160,EQX1263,2025-05-13,Corrective Maintenance,Bucket Damage,Oil Filter,3.6,122960,2025-06-27,In Progress
MAIN10161,EQX1252,2025-01-30,Emergency Repair,Engine Overheating,Brake Pads,43.2,148690,2025-03-16,Completed
MAIN10162,EQX1140,2024-10-06,Corrective Maintenance,Bucket Damage,Fuel Filter,14.4,31744,2024-11-05,Completed
MAIN10163,EQX1285,2025-02-12,Corrective Maintenance,Transmission Fault,Bucket Teeth,44.9,117053,2025-03-29,In Progress
MAIN10164,EQX1071,2025-06-12,Inspection,No Issue,None,20.9,144331,2025-08-11,Completed
MAIN10165,EQX1214,2025-06-16,Corrective Maintenance,Hydraulic Leakage,Battery,15.8,98556,2025-07-16,Completed
MAIN10166,EQX1273,2025-03-17,Emergency Repair,Engine Overheating,Track Chain,47.5,104366,2025-05-01,Completed
MAIN10167,EQX1077,2024-11-08,Emergency Repair,Transmission Fault,Track Chain,31.3,65893,2024-12-23,Completed
MAIN10168,EQX1188,2024-10-22,Corrective Maintenance,Engine Overheating,Track Chain,45.8,83215,2024-11-21,Completed
MAIN10169,EQX1090,2025-01-09,Preventive Maintenance,Engine Overheating,Battery,26.8,144952,2025-02-08,Completed
