customer_id,customer_name,contact_number,customer_type,city,total_rentals,total_amount_spent,risk_level,late_return_count
CUST1001,Nova Developers,9089551914,Contractor,Mysore,25,2211950,High,7
CUST1002,Elite Enterprises,9763748178,Contractor,Bangalore,17,2110669,High,5
CUST1003,Modern Constructions,9723248598,Individual,Trichy,21,3047352,Low,0
CUST1004,United Enterprises,9195492264,Contractor,Trichy,49,1612590,High,4
CUST1005,Prime Earth Movers,9880772273,Builder,Coimbatore,25,3433625,High,5
CUST1006,Sunrise Constructions,9073270281,Contractor,Coimbatore,33,4949901,Medium,1
CUST1007,Sunrise Developers,9254605238,Contractor,Salem,3,240531,Medium,2
CUST1008,Skyline Industries,9761620625,Builder,Bangalore,3,376686,High,7
CUST1009,United Builders,9192138388,Contractor,Salem,48,6247056,High,5
CUST1010,Sunrise Engineering,9362697682,Contractor,Bangalore,30,750390,High,6
CUST1011,Skyline Infrastructure,9059664574,Contractor,Madurai,14,1352050,High,6
CUST1012,Supreme Infrastructure,9034145131,Contractor,Hyderabad,15,379290,Medium,3
CUST1013,Prime Contractors,9905201575,Contractor,Bangalore,38,4255430,Medium,3
CUST1014,ABC Builders,9140048410,Contractor,Coimbatore,42,3394692,Medium,3
CUST1015,Shree Industries,9973505868,Contractor,Bangalore,21,783552,High,7
CUST1016,Sri Projects,9004365165,Builder,Erode,8,533816,High,8
CUST1017,Victory Contractors,9927562209,Contractor,Coimbatore,16,588272,Medium,1
CUST1018,Green Constructions,9000359206,Contractor,Coimbatore,17,511785,High,6
CUST1019,Nova Projects,9982674583,Contractor,Bangalore,11,1160577,High,6
CUST1020,Sri Builders,9587363624,Individual,Madurai,1,119416,High,7
CUST1021,Shree Projects,9775577848,Builder,Hyderabad,33,2394150,High,5
CUST1022,United Engineering,9209486148,Builder,Trichy,34,4093158,High,7
CUST1023,Elite Infrastructure,9361669300,Individual,Tiruppur,4,105260,Medium,1
CUST1024,Shree Contractors,9048937214,Contractor,Salem,37,1581306,Medium,2
CUST1025,Green Constructions,9882119221,Individual,Hyderabad,19,749759,High,8
CUST1026,Global Enterprises,9480331578,Contractor,Bangalore,32,4010048,High,6
CUST1027,Skyline Constructions,9247947432,Builder,Erode,28,1301972,Medium,2
CUST1028,Modern Developers,9399118860,Contractor,Chennai,12,712668,Medium,3
CUST1029,Green Enterprises,9207037957,Contractor,Chennai,37,3929881,Low,0
CUST1030,Metro Enterprises,9602275390,Contractor,Mysore,16,429888,Medium,1
CUST1031,Green Projects,9970843903,Individual,Coimbatore,21,2667315,High,4
CUST1032,Prime Contractors,9480772244,Contractor,Coimbatore,45,6071265,High,5
CUST1033,Sunrise Constructions,9407686726,Contractor,Mysore,31,1188943,Medium,2
