equipment_id,equipment_type,brand,model,manufacture_year,machine_age_years,fuel_tank_capacity_liters,max_operating_hours_per_day,last_service_date,service_interval_days,current_status,current_health_score,current_location_lat,current_location_lon,geofence_status,demand_level
EQX1001,Forklift,CAT,FD25,2020,6.7,84,8,2026-06-15,60,Available,76,13.128518,80.320103,Inside,Medium
EQX1002,Backhoe Loader,JCB,B95,2025,1.4,132,10,2026-06-21,60,Rented,92,10.978892,76.984208,Inside,Medium
EQX1003,Excavator,CAT,336,2018,8.6,268,12,2026-06-15,30,Rented,69,13.053841,80.307414,Outside,Medium
EQX1004,Bulldozer,Komatsu,D8,2016,10.0,558,10,2026-06-08,60,Rented,60,11.052946,76.90697,Inside,Medium
EQX1005,Forklift,JCB,FD25,2023,3.8,81,8,2026-07-29,45,Rented,85,17.378664,78.474893,Inside,High
EQX1006,Motor Grader,Volvo,160K,2020,6.9,200,10,2026-07-02,45,Available,76,9.974717,78.141345,Inside,Low
EQX1007,Bulldozer,Komatsu,D8,2016,10.7,385,10,2026-07-12,30,Idle,54,9.973471,78.146415,Inside,High
EQX1008,Bulldozer,CASE,D6,2018,8.1,595,10,2026-07-21,45,Rented,66,10.972852,76.983123,Inside,Low
EQX1009,Forklift,JCB,FD25,2018,8.2,103,8,2026-07-07,30,Idle,65,9.94421,78.069842,Outside,Low
EQX1010,Excavator,Komatsu,320 GX,2023,3.7,425,12,2026-07-23,45,Rented,89,12.939614,77.616354,Inside,Medium
EQX1011,Excavator,JCB,320 GX,2017,9.6,319,12,2026-07-30,60,Rented,60,17.385417,78.531817,Inside,Medium
EQX1012,Bulldozer,Volvo,D8,2016,10.9,575,10,2026-06-30,45,Available,57,12.921861,77.599104,Inside,High
EQX1013,Backhoe Loader,CASE,B95,2025,2.0,134,10,2026-07-11,60,Rented,88,13.063814,80.225451,Outside,High
EQX1014,Forklift,Volvo,DP30,2024,2.4,100,8,2026-06-18,30,Rented,85,13.082226,80.247772,Inside,Medium
EQX1015,Wheel Loader,CAT,966GC,2020,6.1,384,11,2026-07-20,30,Maintenance,78,9.88057,78.154243,Inside,Low
EQX1016,Motor Grader,Komatsu,140K,2024,2.9,237,10,2026-07-05,60,Rented,92,9.954006,78.12773,Inside,High
EQX1017,Forklift,CASE,DP50,2016,10.0,94,8,2026-07-09,60,Available,65,9.908135,78.146584,Inside,Low
EQX1018,Wheel Loader,Volvo,950GC,2018,8.2,283,11,2026-07-06,60,Maintenance,70,12.993872,77.615274,Inside,High
EQX1019,Excavator,Komatsu,320D,2025,1.4,253,12,2026-06-04,60,Rented,98,13.021444,77.582549,Inside,Low
EQX1020,Bulldozer,CAT,D8,2024,2.6,572,10,2026-06-23,30,Rented,89,13.113808,80.296414,Inside,Low
EQX1021,Backhoe Loader,CASE,4DX,2025,1.6,168,10,2026-07-21,45,Available,88,9.91384,78.104574,Inside,Medium
EQX1022,Motor Grader,Komatsu,120K,2019,7.8,296,10,2026-06-09,30,Available,69,10.997013,76.968164,Inside,Low
EQX1023,Motor Grader,Hitachi,140K,2017,9.4,219,10,2026-06-19,60,Rented,60,17.422983,78.51083,Inside,Medium
EQX1024,Excavator,Volvo,320D,2023,3.3,398,12,2026-06-24,60,Available,81,9.910959,78.147125,Inside,Low
