telemetry_id,equipment_id,rental_id,timestamp,engine_hours_today,total_engine_hours,idle_hours_today,fuel_level_percent,fuel_consumed_liters,engine_temperature_c,hydraulic_pressure_bar,vibration_score,rpm,gps_lat,gps_lon,distance_from_site_km,geofence_flag,movement_status,fault_code,alert_flag,alert_type,condition_score
TEL100000,EQX1069,RNT101540,2025-11-27 19:59:00,2.35,8669,0.14,15.8,25.12,71.0,198.2,5.46,1319,17.386779,78.499025,4.41,Inside,Working,NONE,No,None,89
TEL100001,EQX1032,RNT100845,2025-07-22 22:47:00,0.65,8816,0.12,25.1,11.96,105.9,223.8,5.1,1790,10.994805,76.960977,4.39,Inside,Idle,TMP003,Yes,High Temperature,75
TEL100002,EQX1289,RNT103156,2025-01-16 18:19:00,1.94,14227,0.86,92.0,31.07,102.8,190.7,2.26,790,17.413481,78.473256,3.85,Inside,Working,TMP003,Yes,High Temperature,79
TEL100003,EQX1058,RNT102557,2025-08-20 01:44:00,2.05,11015,1.9,44.2,25.87,103.2,182.9,7.36,1919,13.000158,77.5736,3.48,Inside,Idle,TMP003,Yes,High Temperature,71
TEL100004,EQX1010,RNT103377,2025-01-12 21:04:00,1.23,5209,0.99,72.2,14.74,71.4,199.7,3.12,997,12.943468,77.607719,0.82,Inside,Idle,NONE,No,None,91
TEL100005,EQX1242,RNT104340,2025-08-01 13:12:00,11.2,10953,9.39,26.4,187.31,99.2,288.0,3.68,1446,10.987756,76.95817,0.76,Inside,Working,NONE,No,None,68
TEL100006,EQX1061,RNT104059,2025-12-30 06:32:00,2.28,13073,0.03,87.0,22.27,84.5,303.7,2.28,1534,11.059912,76.972711,4.29,Inside,Idle,NONE,No,None,91
TEL100007,EQX1087,RNT102696,2025-08-01 01:39:00,11.05,2452,1.75,22.2,97.15,102.3,247.9,7.49,1457,12.94611,77.60803,3.33,Inside,Travelling,TMP003,Yes,High Temperature,72
TEL100008,EQX1209,RNT102630,2025-02-09 20:37:00,9.15,12778,2.65,44.3,134.52,108.4,296.0,1.86,2022,17.370929,78.500859,2.6,Inside,Travelling,TMP003,Yes,High Temperature,77
TEL100009,EQX1048,RNT100367,2025-02-03 13:40:00,0.59,7450,0.2,31.4,6.05,107.5,214.2,1.13,1987,11.026789,76.948468,0.72,Inside,Idle,TMP003,Yes,High Temperature,81
TEL100010,EQX1142,RNT102744,2025-06-01 13:01:00,9.73,615,7.57,39.5,186.83,107.7,261.0,4.43,1501,17.417293,78.43688,1.07,Inside,Idle,TMP003,Yes,High Temperature,69
TEL100011,EQX1144,RNT101866,2025-03-14 11:56:00,0.98,6501,0.05,10.1,13.8,73.7,232.2,3.4,1432,9.949363,78.112157,1.17,Inside,Travelling,FUEL004,Yes,Low Fuel,92
TEL100012,EQX1007,RNT100673,2025-08-17 21:43:00,8.74,13884,3.0,38.8,143.91,109.4,206.8,4.15,1603,9.970825,78.15569,4.79,Outside,Working,TMP003,Yes,High Temperature,74
TEL100013,EQX1112,RNT103398,2025-10-13 13:18:00,10.46,2008,2.31,43.0,144.0,99.7,285.5,2.26,782,11.012265,76.919539,4.53,Inside,Working,ENG001,Yes,Maintenance Due,84
TEL100014,EQX1268,RNT100028,2025-06-09 15:45:00,6.48,3146,1.12,16.7,54.89,99.4,275.0,6.49,1612,13.033346,80.247915,2.73,Inside,Idle,HYD002,Yes,High Vibration,73
TEL100015,EQX1158,RNT101119,2025-11-05 16:43:00,3.79,13524,2.83,62.4,58.68,97.5,272.6,7.79,1150,9.901702,78.112652,4.05,Outside,Travelling,HYD002,Yes,High Vibration,69
TEL100016,EQX1085,RNT100604,2025-01-18 15:05:00,11.13,5605,2.24,27.7,215.7,86.1,300.0,0.85,1191,9.91963,78.10221,3.6,Inside,Idle,NONE,No,None,92
TEL100017,EQX1127,RNT104875,2025-04-25 05:37:00,11.05,10375,2.54,27.4,103.61,74.2,214.5,4.98,2071,12.969637,77.607119,0.15,Inside,Stopped,NONE,No,None,84
TEL100018,EQX1037,RNT102520,2025-10-24 01:38:00,5.67,13497,3.45,98.6,104.2,74.0,183.8,3.57,2026,9.895174,78.077493,0.79,Inside,Working,NONE,No,None,88
TEL100019,EQX1135,RNT102418,2025-04-21 13:54:00,7.31,14650,1.37,9.6,62.87,89.1,212.3,7.72,723,13.122477,80.298879,0.46,Inside,Stopped,FUEL004,Yes,Low Fuel,76
TEL100020,EQX1033,RNT101143,2025-06-24 02:13:00,6.47,4695,0.66,96.2,75.16,74.5,218.5,3.9,727,12.955379,77.603047,4.38,Inside,Working,NONE,No,None,87
TEL100021,EQX1065,RNT101209,2025-06-05 00:35:00,5.56,2565,5.17,19.3,87.48,72.3,222.8,7.85,1603,13.006605,77.590525,0.62,Inside,Working,HYD002,Yes,High Vibration,78
TEL100022,EQX1259,RNT100065,2025-03-25 04:57:00,0.28,6703,0.11,89.8,4.04,109.8,258.7,2.11,1845,13.066531,80.276347,2.95,Inside,Working,TMP003,Yes,High Temperature,82
TEL100023,EQX1069,RNT104472,2025-03-19 00:39:00,4.45,10954,0.2,92.9,38.89,108.7,185.8,4.24,1711,17.379769,78.492668,3.38,Inside,Travelling,TMP003,Yes,High Temperature,72
TEL100024,EQX1190,RNT103881,2025-08-06 08:29:00,7.8,8935,3.24,17.9,85.42,76.4,215.0,1.57,2128,12.936412,77.60517,4.44,Inside,Working,NONE,No,None,94
TEL100025,EQX1057,RNT102371,2025-04-07 21:30:00,11.89,13612,4.4,83.0,188.23,80.5,302.8,3.28,1195,9.952524,78.113689,2.45,Inside,Working,NONE,No,None,82
TEL100026,EQX1187,RNT102075,2025-03-29 23:06:00,4.63,9744,2.56,47.5,91.9,71.6,206.2,5.43,1383,13.049925,80.307346,1.84,Inside,Working,NONE,No,None,86
TEL100027,EQX1099,RNT104216,2025-08-05 12:45:00,5.12,4660,1.53,53.8,96.66,109.7,236.8,6.32,1181,13.015035,77.652063,0.34,Inside,Idle,TMP003,Yes,High Temperature,72
TEL100028,EQX1286,RNT100800,2025-11-13 17:21:00,6.5,1474,1.02,74.8,81.63,100.8,302.4,3.82,1635,17.390274,78.486,1.97,Inside,Travelling,TMP003,Yes,High Temperature,79
TEL100029,EQX1028,RNT102012,2025-07-01 22:21:00,7.16,9366,5.1,60.2,123.87,92.9,317.8,1.85,2121,11.004934,76.963134,2.59,Inside,Working,NONE,No,None,85
TEL100030,EQX1254,RNT104571,2025-02-28 18:34:00,6.37,10454,0.14,31.6,116.0,100.0,182.5,5.14,1780,13.002887,77.627555,3.99,Outside,Working,GPS005,Yes,Geofence Breach,79
TEL100031,EQX1028,RNT100686,2025-06-27 23:27:00,5.23,7585,4.54,14.5,101.13,71.2,191.8,4.46,1324,10.997777,76.964276,3.29,Inside,Working,FUEL004,Yes,Low Fuel,84
TEL100032,EQX1047,RNT100144,2025-06-13 05:52:00,6.36,11638,4.46,29.9,88.61,79.7,285.4,7.6,741,12.943709,77.596715,3.57,Inside,Working,HYD002,Yes,High Vibration,73
TEL100033,EQX1193,RNT101921,2025-09-12 17:14:00,8.88,8192,6.87,11.3,104.22,94.9,278.3,0.78,1972,17.407756,78.450021,1.17,Inside,Working,FUEL004,Yes,Low Fuel,80
TEL100034,EQX1096,RNT103787,2025-06-17 12:14:00,1.14,9152,0.9,21.6,18.6,94.4,199.2,4.83,950,17.396522,78.506781,2.71,Inside,Working,NONE,No,None,76
TEL100035,EQX1002,RNT101669,2025-05-19 04:15:00,0.65,2649,0.04,18.1,5.26,104.2,218.8,2.51,1843,10.969676,76.992145,1.62,Inside,Working,TMP003,Yes,High Temperature,84
TEL100036,EQX1132,RNT104549,2025-03-30 00:35:00,0.55,13293,0.05,35.8,8.6,101.2,251.0,5.61,956,17.354682,78.482512,0.08,Inside,Idle,TMP003,Yes,High Temperature,74
TEL100037,EQX1079,RNT103423,2025-04-10 18:39:00,1.61,9904,0.34,65.1,22.48,91.8,256.9,4.77,1269,17.383948,78.463317,0.51,Inside,Working,NONE,No,None,83
TEL100038,EQX1228,RNT101383,2025-10-11 07:11:00,10.79,3750,0.85,62.1,132.09,108.6,219.2,5.13,1342,13.012752,77.628463,3.55,Inside,Travelling,TMP003,Yes,High Temperature,74
TEL100039,EQX1254,RNT103568,2025-04-09 02:19:00,8.93,930,1.36,27.4,137.71,91.6,285.6,6.36,790,13.005621,77.635779,4.45,Inside,Idle,HYD002,Yes,High Vibration,77
TEL100040,EQX1285,RNT102951,2025-05-03 06:08:00,0.32,1403,0.14,62.3,4.26,99.4,250.9,1.89,1789,13.013568,77.566986,2.59,Inside,Working,NONE,No,None,83
TEL100041,EQX1240,RNT100766,2025-10-06 09:56:00,7.55,4067,7.52,50.0,99.29,100.8,289.3,6.1,1424,13.124361,80.272575,2.47,Inside,Working,TMP003,Yes,High Temperature,66
TEL100042,EQX1152,RNT104230,2025-02-17 14:05:00,3.1,4370,2.83,86.8,52.88,83.9,305.8,7.76,1563,11.014328,76.923524,2.58,Inside,Travelling,HYD002,Yes,High Vibration,76
TEL100043,EQX1084,RNT103624,2025-11-06 08:35:00,0.03,12877,0.01,10.1,0.37,99.2,181.7,4.88,1999,11.05269,76.946576,0.08,Inside,Working,FUEL004,Yes,Low Fuel,75
TEL100044,EQX1097,RNT101681,2025-07-01 12:30:00,0.96,8292,0.69,24.2,12.29,82.2,231.1,2.1,739,12.9234,77.61071,2.24,Inside,Working,NONE,No,None,90
TEL100045,EQX1183,RNT104722,2025-08-12 15:04:00,9.2,1766,0.75,73.9,171.43,75.7,274.4,2.75,2155,9.984075,78.107138,1.87,Inside,Travelling,NONE,No,None,93
TEL100046,EQX1150,RNT102716,2025-05-21 02:14:00,3.61,8708,1.71,41.3,68.42,89.2,268.0,2.08,1072,11.061091,76.932659,0.89,Inside,Working,NONE,No,None,85
TEL100047,EQX1098,RNT102079,2025-12-09 11:04:00,8.8,2623,2.4,86.9,70.81,97.1,293.8,5.43,1750,17.356206,78.437446,1.81,Inside,Idle,NONE,No,None,72
TEL100048,EQX1054,RNT101522,2025-03-31 01:19:00,8.16,12403,1.85,97.8,126.05,92.9,241.4,5.73,1159,9.944886,78.094047,0.69,Inside,Idle,NONE,No,None,80
TEL100049,EQX1223,RNT103452,2025-04-30 23:38:00,0.22,13173,0.22,89.9,3.37,75.7,258.8,6.26,2076,11.053378,76.925131,4.71,Inside,Idle,HYD002,Yes,High Vibration,83
TEL100050,EQX1045,RNT102501,2025-04-08 09:51:00,1.21,9230,0.2,41.6,14.24,74.5,264.7,1.62,1438,13.081281,80.278604,0.84,Inside,Working,NONE,No,None,96
TEL100051,EQX1115,RNT104893,2025-10-03 14:14:00,0.59,522,0.09,79.6,5.6,107.4,187.9,4.24,1357,17.369291,78.483431,2.76,Inside,Working,TMP003,Yes,High Temperature,76
TEL100052,EQX1179,RNT102313,2025-09-21 00:02:00,8.41,11714,7.34,78.9,117.06,93.9,180.5,4.42,1564,10.981814,76.938289,0.69,Inside,Idle,NONE,No,None,71
TEL100053,EQX1219,RNT102632,2025-12-28 16:58:00,2.37,14228,1.74,84.7,27.06,71.4,260.9,2.63,1061,12.960343,77.587081,0.71,Inside,Working,NONE,No,None,90
TEL100054,EQX1248,RNT103778,2025-01-16 20:28:00,2.89,13629,0.47,93.3,41.81,89.6,193.8,0.69,825,9.913226,78.104673,4.01,Inside,Working,NONE,No,None,88
TEL100055,EQX1146,RNT101377,2025-06-16 07:37:00,11.68,11611,8.99,77.1,204.15,104.3,287.9,5.95,2136,11.018036,76.93144,4.23,Inside,Working,TMP003,Yes,High Temperature,66
TEL100056,EQX1045,RNT104954,2025-06-21 06:37:00,1.48,2037,1.0,83.5,27.99,103.3,245.0,3.22,1280,13.073739,80.285964,4.08,Inside,Travelling,TMP003,Yes,High Temperature,81
TEL100057,EQX1265,RNT103646,2025-05-26 09:16:00,4.78,9611,3.31,20.8,86.75,107.4,291.6,3.29,1474,12.981871,77.625723,2.49,Inside,Idle,TMP003,Yes,High Temperature,77
TEL100058,EQX1112,RNT104823,2025-05-25 23:53:00,8.15,11652,1.09,93.9,115.7,96.3,206.5,3.75,1072,11.025963,76.920203,0.1,Inside,Travelling,NONE,No,None,79
TEL100059,EQX1156,RNT100930,2025-01-16 11:07:00,3.18,6532,2.21,80.9,62.51,71.9,184.7,1.31,1338,17.338431,78.465175,1.59,Inside,Working,NONE,No,None,93
TEL100060,EQX1006,RNT101506,2025-09-19 09:02:00,1.64,4322,1.24,94.7,15.96,80.4,259.9,6.88,1426,9.966483,78.139491,3.87,Inside,Travelling,HYD002,Yes,High Vibration,80
TEL100061,EQX1275,RNT103036,2025-08-31 21:28:00,1.17,2788,0.93,83.9,13.36,94.5,274.3,7.28,1313,13.077582,80.315526,1.0,Inside,Travelling,HYD002,Yes,High Vibration,73
TEL100062,EQX1193,RNT102892,2025-12-16 18:32:00,6.7,2956,1.48,81.9,93.61,102.8,188.9,7.95,800,17.415253,78.450528,4.63,Inside,Working,TMP003,Yes,High Temperature,67
TEL100063,EQX1066,RNT101414,2025-12-17 01:36:00,2.69,5569,0.75,89.4,47.63,103.2,235.9,5.31,897,12.943192,77.620197,2.86,Outside,Stopped,TMP003,Yes,High Temperature,76
TEL100064,EQX1119,RNT101467,2025-11-17 21:59:00,0.5,9096,0.13,8.6,7.56,94.4,236.8,7.95,992,9.947633,78.092151,4.27,Inside,Stopped,FUEL004,Yes,Low Fuel,76
TEL100065,EQX1292,RNT103254,2025-05-30 18:26:00,11.32,13795,9.4,43.0,119.27,85.8,301.2,4.19,1444,17.399824,78.466555,3.26,Inside,Working,NONE,No,None,76
TEL100066,EQX1246,RNT104291,2025-06-03 11:26:00,0.34,8566,0.03,41.9,6.16,105.5,265.6,2.92,1862,9.924235,78.137875,0.68,Inside,Travelling,TMP003,Yes,High Temperature,81
TEL100067,EQX1235,RNT100862,2025-07-18 18:51:00,1.63,14146,0.25,26.9,19.66,79.8,205.0,5.95,726,13.075891,80.274488,4.16,Inside,Idle,NONE,No,None,81
TEL100068,EQX1027,RNT103038,2025-04-07 09:17:00,11.53,5491,7.37,10.6,133.35,73.4,214.1,1.59,1371,12.968016,77.599499,2.5,Inside,Working,FUEL004,Yes,Low Fuel,86
TEL100069,EQX1124,RNT101918,2025-11-29 00:07:00,3.14,12638,2.36,26.4,54.59,79.8,226.1,4.62,987,9.952934,78.097608,2.72,Inside,Idle,NONE,No,None,86
TEL100070,EQX1117,RNT103951,2025-12-25 12:10:00,1.95,4835,0.05,29.5,28.6,101.6,267.3,1.74,1331,12.977869,77.632435,2.94,Inside,Working,TMP003,Yes,High Temperature,82
TEL100071,EQX1064,RNT101705,2025-02-05 22:39:00,11.16,13574,2.89,96.7,94.85,96.4,282.2,3.04,2050,11.060771,76.963686,2.44,Inside,Stopped,NONE,No,None,83
TEL100072,EQX1273,RNT103773,2025-02-11 17:12:00,10.46,12153,4.68,20.6,189.01,80.9,185.0,6.48,1417,17.399886,78.535716,2.54,Inside,Stopped,HYD002,Yes,High Vibration,76
TEL100073,EQX1243,RNT101519,2025-11-18 11:00:00,10.08,1623,5.97,42.9,177.16,99.4,227.4,1.61,1511,13.044701,80.267969,3.93,Inside,Working,NONE,No,None,79
TEL100074,EQX1172,RNT101491,2025-07-30 10:20:00,3.32,6929,2.51,19.8,53.62,81.4,211.0,5.95,1345,12.925425,77.542348,1.94,Inside,Working,NONE,No,None,79
